hospitalizacion_id,rut,nombre_completo,fecha_nacimiento,sexo,comuna,prevision,fecha_ingreso,fecha_egreso,motivo_egreso,medico_responsable,dias_estadia,numero_cama,servicio,tipo_cama,codigo_cie10,diagnostico,categoria_diagnostico,edad_ingreso,grupo_etario
573,5.723.628-0,Alejandro Silva,1977-04-15,M,Puqueldón,ISAPRE,2025-10-25 20:53:36.011789,2025-10-31 20:53:36.011789,Alta médica,Carlos Francisco Rodríguez Salinas,6.0,MED-500,Medicina Interna,Básica,S72.0,Fractura de cuello de fémur,Traumatológico,48,45-59
574,16.659.329-8,Maite Paz,2005-07-20,F,Huasco,ISAPRE,2025-04-06 16:25:43.011789,2025-04-20 16:25:43.011789,Traslado,Silvia Barraza Mellado,14.0,TRA-425,Traumatología,Alta Complejidad,I10.X,Hipertensión esencial primaria,Cardiovascular,19,15-29
575,16.560.470-9,Carmen Arancibia,1987-08-30,F,Valparaíso,FONASA,2026-02-19 21:28:56.011789,2026-02-23 21:28:56.011789,Alta médica,María Patricia Araya Gatica,4.0,NEU-122,Neurología,Básica,N39.0,"Infección urinaria, sitio no especificado",Urológico,38,30-44
576,15.892.947-3,Nataly Moraga,1943-11-24,F,Concepción,NINGUNA,2026-01-28 20:43:04.011789,2026-02-10 20:43:04.011789,Alta voluntaria,Juan Patricio Núñez Letelier,13.0,MED-243,Medicina Interna,Básica,E86.0,Deshidratación,Metabólico,82,75+
577,20.383.298-2,María Leiva,1990-11-23,F,Pencahue,FONASA,2025-08-06 04:24:39.011789,2025-08-21 04:24:39.011789,Traslado,Ignacia María Hernández Araya,15.0,NEU-519,Neurología,Media,A09.9,Gastroenteritis infecciosa,Infectológico,34,30-44
578,24.390.593-1,Felipe Sáez,1972-07-09,M,Cochrane,NINGUNA,2025-12-22 15:25:47.011789,2026-01-07 15:25:47.011789,Alta voluntaria,Pablo Vásquez Sáez,16.0,NEU-300,Neurología,Alta Complejidad,J44.1,EPOC con exacerbación aguda,Respiratorio,53,45-59
579,6.729.282-0,Fabián Moraga,1958-04-08,M,Río Hurtado,ISAPRE,2025-09-10 07:54:33.011789,2025-09-23 07:54:33.011789,Alta voluntaria,Gladys Carrasco Aguilar,13.0,MED-095,Medicina Interna,Alta Complejidad,K35.9,"Apendicitis aguda, no especificada",Digestivo,67,60-74
580,20.968.925-1,Ester Salgado,1978-04-05,F,La Serena,FONASA,2025-11-28 17:16:52.011789,2025-12-11 17:16:52.011789,Traslado,George Pedro Álvarez Valenzuela,13.0,MED-108,Medicina Interna,Media,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,47,45-59
581,16.333.182-9,Vanessa Ulloa,1977-03-30,F,Isla De Maipo,NINGUNA,2025-07-15 17:15:55.011789,2025-07-23 17:15:55.011789,Fallecimiento,Pablo Vásquez Sáez,8.0,NEU-508,Neurología,Alta Complejidad,S72.0,Fractura de cuello de fémur,Traumatológico,48,45-59
582,16.723.088-1,Juan Sepúlveda,1963-11-22,M,San Ramón,NINGUNA,2025-11-22 03:09:47.011789,,En curso,Pablo Vásquez Sáez,,CAR-364,Cardiología,Alta Complejidad,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,62,60-74
583,10.586.363-2,Olga Campos,1968-09-30,F,Ollagüe,ISAPRE,2025-07-29 13:07:20.011789,2025-08-10 13:07:20.011789,Alta voluntaria,Ángela Amanda Moya Sandoval,12.0,UCI-010,UCI,Básica,N39.0,"Infección urinaria, sitio no especificado",Urológico,56,45-59
584,19.494.254-0,Jacqueline Neira,1954-05-07,F,Villa Alegre,NINGUNA,2026-02-16 14:50:21.011789,2026-03-02 14:50:21.011789,Fallecimiento,Isabel Espinosa,14.0,MED-235,Medicina Interna,Básica,J06.9,Infección aguda vías respiratorias superiores,Respiratorio,71,60-74
585,23.092.456-2,Paulo Bravo,1994-04-23,M,Galvarino,NINGUNA,2026-02-17 13:18:27.011789,,En curso,María Carrasco,,CIR-407,Cirugía,Alta Complejidad,I10.X,Hipertensión esencial primaria,Cardiovascular,31,30-44
586,10.966.404-9,Orlando Álvarez,1974-04-16,M,Chaitén,NINGUNA,2026-01-26 01:09:31.011789,2026-02-12 01:09:31.011789,Traslado,Sofía Córdova,17.0,NEU-529,Neurología,Básica,K35.9,"Apendicitis aguda, no especificada",Digestivo,51,45-59
587,6.929.270-4,Adriana Peralta,1964-03-17,F,Rinconada,FONASA,2025-12-20 22:55:33.011789,2025-12-26 22:55:33.011789,Alta médica,Jessica Zapata,6.0,UCI-378,UCI,Alta Complejidad,B34.9,"Infección viral, no especificada",Infectológico,61,60-74
588,14.175.544-7,Gabriel Muñoz,1997-09-06,M,Cañete,NINGUNA,2025-03-31 07:18:21.011789,2025-04-09 07:18:21.011789,Alta voluntaria,Mariana Evelyn Castro Saldaña,9.0,NEU-052,Neurología,Básica,G40.9,"Epilepsia, no especificada",Neurológico,27,15-29
589,15.139.819-7,Consuelo Guajardo,1984-03-06,F,Porvenir,ISAPRE,2025-06-16 16:31:33.011789,,En curso,Josefa Espinoza Jara,,MED-235,Medicina Interna,Básica,N39.0,"Infección urinaria, sitio no especificado",Urológico,41,30-44
590,7.107.458-7,Denisse Barría,1947-07-18,F,Calera De Tango,ISAPRE,2025-05-04 05:41:07.011789,2025-05-12 05:41:07.011789,Alta médica,Josefa Espinoza Jara,8.0,CAR-292,Cardiología,Media,I10.X,Hipertensión esencial primaria,Cardiovascular,77,75+
591,16.504.069-4,Fernando Rojas,1945-09-28,M,Tortel,FONASA,2025-09-29 07:44:59.011789,2025-10-13 07:44:59.011789,Traslado,Ian José Orellana Cisternas,14.0,CAR-091,Cardiología,Media,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,80,75+
592,15.048.685-8,Vicente Contreras,1959-03-07,M,Providencia,ISAPRE,2025-12-02 05:50:41.011789,2025-12-06 05:50:41.011789,Fallecimiento,Ángela Amanda Moya Sandoval,4.0,UCI-240,UCI,Media,E86.0,Deshidratación,Metabólico,66,60-74
593,24.612.134-6,Isidora Gómez,1946-12-17,F,San Rosendo,FONASA,2025-10-01 11:00:52.011789,2025-10-07 11:00:52.011789,Traslado,Pablo Vásquez Sáez,6.0,CIR-567,Cirugía,Media,I50.9,"Insuficiencia cardíaca, no especificada",Cardiovascular,78,75+
594,17.471.653-6,Carla Quinteros,1943-09-06,F,Combarbalá,NINGUNA,2025-07-04 22:15:57.011789,,En curso,Constanza Reyes Toro,,UCI-136,UCI,Básica,A09.9,Gastroenteritis infecciosa,Infectológico,81,75+
595,20.672.411-0,Constanza González,1961-03-12,F,Curicó,FONASA,2025-09-12 10:57:50.011789,,En curso,Sofía Córdova,,CIR-259,Cirugía,Básica,I10.X,Hipertensión esencial primaria,Cardiovascular,64,60-74
596,6.783.655-3,Brígida Orellana,1970-01-12,F,San Esteban,ISAPRE,2025-08-29 16:36:46.011789,2025-09-03 16:36:46.011789,Traslado,Ángela Amanda Moya Sandoval,5.0,NEU-447,Neurología,Básica,J06.9,Infección aguda vías respiratorias superiores,Respiratorio,55,45-59
597,14.549.884-8,José Cerda,1964-03-01,M,Tucapel,ISAPRE,2025-06-03 23:30:40.011789,2025-06-07 23:30:40.011789,Traslado,Yuliana Edith Acevedo Urra,4.0,CAR-257,Cardiología,Básica,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,61,60-74
598,8.653.663-3,Daniel Burgos,1968-05-16,M,Pelluhue,FONASA,2025-04-22 07:18:43.011789,2025-05-07 07:18:43.011789,Alta voluntaria,Constanza Reyes Toro,15.0,NEU-598,Neurología,Alta Complejidad,K92.1,Melena,Digestivo,56,45-59
599,24.266.561-9,Guillermo Aravena,1996-12-09,M,Molina,ISAPRE,2025-08-28 17:48:29.011789,,En curso,Jessica Zapata,,NEU-374,Neurología,Alta Complejidad,K92.1,Melena,Digestivo,28,15-29
600,14.719.254-1,Claudio Santibáñez,1943-02-03,M,Lago Ranco,NINGUNA,2025-09-19 19:41:25.011789,,En curso,Gladys Carrasco Aguilar,,UCI-080,UCI,Alta Complejidad,S72.0,Fractura de cuello de fémur,Traumatológico,82,75+
601,18.131.953-4,Mariana Garay,1966-08-11,F,Colina,FONASA,2026-01-07 02:13:59.011789,2026-01-10 02:13:59.011789,Fallecimiento,Yuliana Edith Acevedo Urra,3.0,CIR-083,Cirugía,Alta Complejidad,N39.0,"Infección urinaria, sitio no especificado",Urológico,59,45-59
602,23.381.318-4,Massiel Zárate,1998-07-28,F,Puyehue,ISAPRE,2025-07-24 12:38:47.011789,2025-07-25 12:38:47.011789,Fallecimiento,Rodrigo Modesto Acevedo Villagra,1.0,MED-049,Medicina Interna,Media,A09.9,Gastroenteritis infecciosa,Infectológico,27,15-29
603,6.328.508-0,Patricia Díaz,1964-09-25,F,Pumanque,ISAPRE,2025-08-16 16:05:47.011789,2025-08-21 16:05:47.011789,Alta voluntaria,Yuliana Edith Acevedo Urra,5.0,CIR-274,Cirugía,Básica,J18.9,"Neumonía, no especificada",Respiratorio,60,60-74
604,16.991.215-7,Doris Castro,1968-01-12,F,Los Álamos,ISAPRE,2025-06-03 11:25:15.011789,2025-06-11 11:25:15.011789,Alta voluntaria,Ángela Amanda Moya Sandoval,8.0,TRA-594,Traumatología,Media,K92.1,Melena,Digestivo,57,45-59
605,13.633.277-5,Juan Vega,1965-11-21,M,Litueche,ISAPRE,2025-12-02 09:12:41.011789,2025-12-09 09:12:41.011789,Alta voluntaria,María Carrasco,7.0,TRA-130,Traumatología,Básica,B34.9,"Infección viral, no especificada",Infectológico,60,60-74
606,12.801.837-9,Diana Opazo,2001-12-06,F,San Felipe,FONASA,2025-04-26 01:06:00.011789,,En curso,Sofía Córdova,,NEU-065,Neurología,Alta Complejidad,K35.9,"Apendicitis aguda, no especificada",Digestivo,23,15-29
607,12.092.294-7,Luis Tapia,1998-09-29,M,Santa María,FONASA,2025-07-14 16:00:10.011789,2025-07-27 16:00:10.011789,Alta voluntaria,Constanza Reyes Toro,13.0,NEU-058,Neurología,Alta Complejidad,K35.9,"Apendicitis aguda, no especificada",Digestivo,26,15-29
608,19.603.075-1,Tabita Valenzuela,1961-08-16,F,San Esteban,ISAPRE,2025-09-30 17:56:23.011789,2025-10-16 17:56:23.011789,Alta médica,Josefa Espinoza Jara,16.0,NEU-242,Neurología,Alta Complejidad,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,64,60-74
609,14.094.999-K,Iris Vega,1949-08-19,F,Talcahuano,NINGUNA,2026-02-21 14:07:05.011789,2026-02-22 14:07:05.011789,Alta médica,Sofía Córdova,1.0,UCI-448,UCI,Básica,J06.9,Infección aguda vías respiratorias superiores,Respiratorio,76,75+
610,10.627.806-7,Sandra Cofré,1989-04-12,F,Tiltil,NINGUNA,2025-03-10 02:39:34.011789,2025-03-27 02:39:34.011789,Fallecimiento,George Pedro Álvarez Valenzuela,17.0,TRA-368,Traumatología,Media,K92.1,Melena,Digestivo,35,30-44
611,17.781.030-4,Pascal Badilla,1980-08-26,F,Casablanca,NINGUNA,2026-01-04 15:15:21.011789,2026-01-16 15:15:21.011789,Fallecimiento,Constanza Reyes Toro,12.0,NEU-447,Neurología,Básica,B34.9,"Infección viral, no especificada",Infectológico,45,45-59
612,21.748.045-0,Alexis Ruz,1984-02-27,M,Chile Chico,ISAPRE,2025-10-13 22:58:38.011789,2025-10-28 22:58:38.011789,Alta voluntaria,Ignacia María Hernández Araya,15.0,UCI-143,UCI,Media,B34.9,"Infección viral, no especificada",Infectológico,41,30-44
613,14.303.799-1,Ignacio Moreno,1998-05-31,M,Olivar,FONASA,2025-12-08 12:14:14.011789,2025-12-25 12:14:14.011789,Alta médica,Ángela Amanda Moya Sandoval,17.0,NEU-503,Neurología,Básica,J44.1,EPOC con exacerbación aguda,Respiratorio,27,15-29
614,13.990.438-9,Berta Peña,2003-10-10,F,Maipú,NINGUNA,2025-12-09 14:11:56.011789,2025-12-18 14:11:56.011789,Traslado,Ian José Orellana Cisternas,9.0,MED-041,Medicina Interna,Media,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,22,15-29
615,11.165.278-3,Washington Rosales,1982-11-18,M,Ñuñoa,ISAPRE,2025-07-27 14:42:08.011789,2025-08-04 14:42:08.011789,Alta médica,Gladys Carrasco Aguilar,8.0,NEU-102,Neurología,Básica,A09.9,Gastroenteritis infecciosa,Infectológico,42,30-44
616,14.242.265-4,Laura Rodríguez,1953-09-22,F,Andacollo,FONASA,2025-05-15 01:24:10.011789,2025-05-22 01:24:10.011789,Alta voluntaria,Rodrigo Modesto Acevedo Villagra,7.0,TRA-219,Traumatología,Media,J06.9,Infección aguda vías respiratorias superiores,Respiratorio,71,60-74
617,14.576.949-3,María Salinas,1983-12-14,F,Requínoa,FONASA,2025-02-28 17:52:37.011789,,En curso,David Palacios,,CAR-212,Cardiología,Alta Complejidad,J06.9,Infección aguda vías respiratorias superiores,Respiratorio,41,30-44
618,8.544.516-2,Franco Hernández,1978-04-16,M,Litueche,FONASA,2025-12-31 04:04:38.011789,2026-01-15 04:04:38.011789,Traslado,Juan Patricio Núñez Letelier,15.0,UCI-029,UCI,Media,E86.0,Deshidratación,Metabólico,47,45-59
619,22.866.723-4,Lourdes Valenzuela,1999-03-22,F,Los Andes,NINGUNA,2025-11-15 12:00:44.011789,2025-11-26 12:00:44.011789,Fallecimiento,George Pedro Álvarez Valenzuela,11.0,MED-427,Medicina Interna,Alta Complejidad,J44.1,EPOC con exacerbación aguda,Respiratorio,26,15-29
620,6.423.241-K,Sara González,1999-09-25,F,Coihueco,FONASA,2025-09-21 01:52:39.011789,2025-10-10 01:52:39.011789,Fallecimiento,Pablo Vásquez Sáez,19.0,MED-330,Medicina Interna,Media,I50.9,"Insuficiencia cardíaca, no especificada",Cardiovascular,26,15-29
621,23.722.138-9,Wilmer Gallardo,1986-03-01,M,Huara,ISAPRE,2025-08-16 00:35:07.011789,2025-08-27 00:35:07.011789,Fallecimiento,María Patricia Araya Gatica,11.0,TRA-071,Traumatología,Básica,B34.9,"Infección viral, no especificada",Infectológico,39,30-44
622,14.165.958-8,Francisca Navarro,1954-09-01,F,Santa Bárbara,NINGUNA,2025-06-25 03:59:14.011789,2025-07-04 03:59:14.011789,Alta médica,María Carrasco,9.0,UCI-387,UCI,Media,I50.9,"Insuficiencia cardíaca, no especificada",Cardiovascular,70,60-74
623,22.698.286-8,Jorge Salgado,1987-07-15,M,Curarrehue,ISAPRE,2026-02-05 13:44:29.011789,,En curso,Ignacia María Hernández Araya,,CIR-370,Cirugía,Alta Complejidad,E86.0,Deshidratación,Metabólico,38,30-44
624,5.488.551-2,Eydan Henríquez,1962-12-10,M,Salamanca,FONASA,2025-09-12 23:23:49.011789,2025-09-25 23:23:49.011789,Alta voluntaria,Juan Patricio Núñez Letelier,13.0,NEU-242,Neurología,Alta Complejidad,J18.9,"Neumonía, no especificada",Respiratorio,62,60-74
625,18.520.494-4,Maximiliano Valenzuela,1985-08-06,M,Pitrufquén,FONASA,2025-06-02 16:48:07.011789,2025-06-18 16:48:07.011789,Alta médica,Yuliana Edith Acevedo Urra,16.0,CAR-308,Cardiología,Alta Complejidad,N39.0,"Infección urinaria, sitio no especificado",Urológico,39,30-44
626,10.824.385-6,Lucas Parada,1974-04-01,M,Antuco,FONASA,2026-01-11 01:30:36.011789,2026-01-25 01:30:36.011789,Alta voluntaria,Carlos Francisco Rodríguez Salinas,14.0,NEU-266,Neurología,Media,K35.9,"Apendicitis aguda, no especificada",Digestivo,51,45-59
627,6.271.253-8,María Valdés,1945-12-15,F,Copiapó,FONASA,2025-06-28 03:25:46.011789,2025-07-14 03:25:46.011789,Alta voluntaria,Mariana Evelyn Castro Saldaña,16.0,MED-158,Medicina Interna,Media,K92.1,Melena,Digestivo,79,75+
628,19.195.246-4,Francisco Hernández,2004-04-27,M,Angol,NINGUNA,2026-01-24 10:02:27.011789,2026-02-01 10:02:27.011789,Traslado,María Patricia Araya Gatica,8.0,CIR-417,Cirugía,Alta Complejidad,J44.1,EPOC con exacerbación aguda,Respiratorio,21,15-29
629,12.781.466-K,Olga Muñoz,1988-08-09,F,Saavedra,FONASA,2025-07-24 21:04:01.011789,,En curso,Pablo Vásquez Sáez,,CAR-471,Cardiología,Básica,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,36,30-44
630,9.156.483-1,Karen Cabello,1986-05-09,F,Casablanca,FONASA,2025-04-27 19:07:29.011789,2025-05-13 19:07:29.011789,Alta médica,Pablo Vásquez Sáez,16.0,CIR-362,Cirugía,Media,B34.9,"Infección viral, no especificada",Infectológico,38,30-44
631,20.001.116-3,Erika Cuevas,1961-07-04,F,Cunco,FONASA,2025-08-30 12:34:14.011789,2025-09-04 12:34:14.011789,Fallecimiento,Sofía Córdova,5.0,NEU-395,Neurología,Básica,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,64,60-74
632,19.061.530-8,Eliana Venegas,1953-07-10,F,Corral,NINGUNA,2025-05-03 16:34:08.011789,,En curso,María Patricia Araya Gatica,,CAR-580,Cardiología,Media,B34.9,"Infección viral, no especificada",Infectológico,71,60-74
633,6.905.041-7,Osvaldo Fuentealba,1994-10-23,M,Coihaique,NINGUNA,2025-04-01 12:06:39.011789,,En curso,Silvia Barraza Mellado,,CAR-001,Cardiología,Básica,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,30,30-44
634,17.359.839-4,Pamela Quinteros,1996-01-15,F,Chaitén,ISAPRE,2026-02-11 21:45:42.011789,2026-02-27 21:45:42.011789,Alta médica,Ian José Orellana Cisternas,16.0,NEU-033,Neurología,Básica,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,30,30-44
635,14.413.895-3,Olga Parada,2004-03-03,F,Yungay,ISAPRE,2025-06-18 23:48:38.011789,2025-07-03 23:48:38.011789,Fallecimiento,David Palacios,15.0,UCI-145,UCI,Básica,E86.0,Deshidratación,Metabólico,21,15-29
636,20.637.097-1,María Ulloa,1953-09-28,F,San Ramón,ISAPRE,2025-10-22 01:25:45.011789,2025-11-01 01:25:45.011789,Alta médica,David Palacios,10.0,NEU-283,Neurología,Media,I10.X,Hipertensión esencial primaria,Cardiovascular,72,60-74
637,18.005.302-6,Paulina Poblete,1988-07-25,F,Renca,NINGUNA,2026-01-09 04:51:49.011789,2026-01-26 04:51:49.011789,Fallecimiento,María Carrasco,17.0,TRA-050,Traumatología,Media,N39.0,"Infección urinaria, sitio no especificado",Urológico,37,30-44
638,18.364.954-K,Tamara Urzúa,1942-01-14,F,Villa Alegre,FONASA,2026-01-02 23:36:32.011789,,En curso,María Carrasco,,NEU-204,Neurología,Alta Complejidad,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,84,75+
639,12.135.099-8,José Concha,1970-12-28,M,Colina,ISAPRE,2025-08-26 16:05:48.011789,2025-08-31 16:05:48.011789,Alta médica,Gladys Carrasco Aguilar,5.0,CAR-319,Cardiología,Alta Complejidad,E86.0,Deshidratación,Metabólico,54,45-59
640,13.391.733-0,José Herrera,1951-10-08,M,Panquehue,FONASA,2025-04-11 08:11:29.011789,,En curso,Josefa Espinoza Jara,,CIR-346,Cirugía,Media,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,73,60-74
641,9.693.406-8,Pedro Vera,1964-01-27,M,Pichilemu,NINGUNA,2025-12-24 16:55:50.011789,2026-01-04 16:55:50.011789,Traslado,Mariana Evelyn Castro Saldaña,11.0,TRA-566,Traumatología,Básica,N39.0,"Infección urinaria, sitio no especificado",Urológico,61,60-74
642,8.413.702-2,Ricardo Sánchez,2005-02-01,M,Puerto Octay,ISAPRE,2025-04-17 03:28:47.011789,,En curso,Rodrigo Modesto Acevedo Villagra,,UCI-375,UCI,Media,J18.9,"Neumonía, no especificada",Respiratorio,20,15-29
643,14.406.872-6,Amparo Rosas,1997-05-10,F,Huechuraba,ISAPRE,2026-02-11 08:05:34.011789,2026-02-13 08:05:34.011789,Fallecimiento,Isabel Espinosa,2.0,NEU-585,Neurología,Básica,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,28,15-29
644,15.161.377-2,Benjamín Palma,1956-06-20,M,Macul,ISAPRE,2025-03-26 04:16:22.011789,2025-04-04 04:16:22.011789,Alta voluntaria,Yuliana Edith Acevedo Urra,9.0,UCI-038,UCI,Media,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,68,60-74
645,13.729.446-K,Ana Cofré,1950-02-26,F,Mariquina,FONASA,2025-12-29 21:26:12.011789,2026-01-09 21:26:12.011789,Alta voluntaria,George Pedro Álvarez Valenzuela,11.0,NEU-204,Neurología,Alta Complejidad,N39.0,"Infección urinaria, sitio no especificado",Urológico,75,75+
646,14.623.936-6,Cristian Sandoval,1972-12-26,M,Maullín,FONASA,2026-02-19 01:36:28.011789,2026-02-25 01:36:28.011789,Alta médica,Juan Patricio Núñez Letelier,6.0,MED-366,Medicina Interna,Media,N39.0,"Infección urinaria, sitio no especificado",Urológico,53,45-59
647,19.170.504-1,Jorge Inostroza,1987-03-25,M,Maipú,FONASA,2025-09-05 14:46:31.011789,,En curso,Gladys Carrasco Aguilar,,CIR-345,Cirugía,Básica,B34.9,"Infección viral, no especificada",Infectológico,38,30-44
648,15.600.725-0,María Ramírez,1949-11-05,F,Hualañé,ISAPRE,2025-06-01 17:46:21.011789,2025-06-17 17:46:21.011789,Fallecimiento,Sofía Córdova,16.0,CIR-520,Cirugía,Básica,N39.0,"Infección urinaria, sitio no especificado",Urológico,75,75+
649,6.923.261-2,Aldo Ramos,1956-02-26,M,Yerbas Buenas,NINGUNA,2025-12-24 21:31:40.011789,2026-01-05 21:31:40.011789,Fallecimiento,Pablo Vásquez Sáez,12.0,NEU-476,Neurología,Media,J44.1,EPOC con exacerbación aguda,Respiratorio,69,60-74
650,15.851.893-7,Patricia Valenzuela,1986-08-06,F,Casablanca,NINGUNA,2025-04-10 03:30:34.011789,2025-04-27 03:30:34.011789,Traslado,Constanza Reyes Toro,17.0,CIR-345,Cirugía,Básica,J44.1,EPOC con exacerbación aguda,Respiratorio,38,30-44
651,21.771.601-2,Orlando Ormeño,1986-04-10,M,Alto Hospicio,ISAPRE,2025-06-14 17:17:39.011789,2025-07-01 17:17:39.011789,Traslado,María Patricia Araya Gatica,17.0,CAR-221,Cardiología,Media,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,39,30-44
652,17.769.923-3,Constanza Medina,1946-08-16,F,San Vicente,ISAPRE,2025-09-29 00:09:00.011789,2025-10-14 00:09:00.011789,Alta médica,Mariana Evelyn Castro Saldaña,15.0,NEU-263,Neurología,Media,A09.9,Gastroenteritis infecciosa,Infectológico,79,75+
653,21.296.102-7,Katherinne Cuevas,1981-04-23,F,San Pedro De La Paz,ISAPRE,2025-10-15 09:27:19.011789,2025-10-18 09:27:19.011789,Alta voluntaria,George Pedro Álvarez Valenzuela,3.0,TRA-452,Traumatología,Alta Complejidad,I50.9,"Insuficiencia cardíaca, no especificada",Cardiovascular,44,30-44
654,18.181.050-5,Paloma Roa,1947-01-01,F,Saavedra,NINGUNA,2026-01-18 17:30:45.011789,2026-02-02 17:30:45.011789,Fallecimiento,María Patricia Araya Gatica,15.0,CAR-217,Cardiología,Alta Complejidad,I50.9,"Insuficiencia cardíaca, no especificada",Cardiovascular,79,75+
655,11.033.302-1,José Lizana,1960-04-30,M,Quilaco,FONASA,2025-06-07 05:22:00.011789,2025-06-08 05:22:00.011789,Traslado,María Carrasco,1.0,MED-203,Medicina Interna,Media,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,65,60-74
656,17.516.279-8,Carmen Torres,1992-12-30,F,Vilcún,ISAPRE,2025-08-01 16:42:57.011789,2025-08-03 16:42:57.011789,Alta médica,Pablo Vásquez Sáez,2.0,UCI-252,UCI,Media,N39.0,"Infección urinaria, sitio no especificado",Urológico,32,30-44
657,7.690.072-8,Guillermo Godoy,1966-08-02,M,San Gregorio,FONASA,2025-09-11 09:15:30.011789,,En curso,David Palacios,,NEU-111,Neurología,Alta Complejidad,B34.9,"Infección viral, no especificada",Infectológico,59,45-59
658,13.122.068-5,Patricio Osses,1999-05-23,M,Llaillay,ISAPRE,2025-10-11 20:13:37.011789,2025-10-29 20:13:37.011789,Fallecimiento,Ignacia María Hernández Araya,18.0,MED-249,Medicina Interna,Media,K92.1,Melena,Digestivo,26,15-29
659,10.435.800-4,Diego Aguilera,1963-05-20,M,Puqueldón,FONASA,2025-12-07 08:48:16.011789,2025-12-25 08:48:16.011789,Traslado,George Pedro Álvarez Valenzuela,18.0,TRA-245,Traumatología,Básica,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,62,60-74
660,12.748.133-4,José Gómez,1986-10-10,M,Olmué,FONASA,2025-11-06 17:36:21.011789,2025-11-22 17:36:21.011789,Alta médica,Silvia Barraza Mellado,16.0,CIR-218,Cirugía,Alta Complejidad,J06.9,Infección aguda vías respiratorias superiores,Respiratorio,39,30-44
661,14.545.637-1,Luis Sánchez,1980-07-16,M,Chonchi,FONASA,2025-11-10 20:32:14.011789,2025-11-19 20:32:14.011789,Alta voluntaria,Silvia Barraza Mellado,9.0,TRA-191,Traumatología,Básica,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,45,45-59
662,24.815.098-K,Florencia Espinoza,1968-02-19,F,Canela,FONASA,2025-07-18 21:21:38.011789,2025-07-28 21:21:38.011789,Fallecimiento,Juan Patricio Núñez Letelier,10.0,UCI-356,UCI,Básica,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,57,45-59
663,10.113.742-2,Santiago Gutiérrez,1978-07-30,M,Llanquihue,NINGUNA,2025-04-29 22:35:49.011789,,En curso,Jessica Zapata,,MED-291,Medicina Interna,Media,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,46,45-59
664,13.293.704-4,Gloria Pérez,1943-08-16,F,Tortel,NINGUNA,2025-05-09 00:43:05.011789,2025-05-24 00:43:05.011789,Fallecimiento,Constanza Reyes Toro,15.0,UCI-057,UCI,Básica,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,81,75+
665,12.292.227-8,Maximiliano Chamorro,1959-04-05,M,Retiro,NINGUNA,2025-04-16 22:37:25.011789,2025-05-06 22:37:25.011789,Fallecimiento,Isabel Espinosa,20.0,NEU-389,Neurología,Básica,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,66,60-74
666,9.840.809-6,Ana Navarrete,1953-07-18,F,Florida,NINGUNA,2025-05-08 00:44:45.011789,2025-05-15 00:44:45.011789,Fallecimiento,Juan Patricio Núñez Letelier,7.0,CAR-092,Cardiología,Alta Complejidad,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,71,60-74
667,23.092.456-2,Paulo Bravo,1994-04-23,M,Galvarino,NINGUNA,2025-05-02 13:15:53.011789,2025-05-08 13:15:53.011789,Traslado,George Pedro Álvarez Valenzuela,6.0,NEU-341,Neurología,Media,A09.9,Gastroenteritis infecciosa,Infectológico,31,30-44
668,24.065.848-8,Juana Soto,1942-02-17,F,Quinta Normal,NINGUNA,2026-01-25 23:50:49.011789,2026-02-08 23:50:49.011789,Alta médica,Silvia Barraza Mellado,14.0,TRA-061,Traumatología,Alta Complejidad,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,83,75+
669,16.220.254-5,Franco Aburto,1963-09-04,M,Punitaqui,ISAPRE,2025-05-13 08:51:36.011789,2025-05-29 08:51:36.011789,Alta médica,Yuliana Edith Acevedo Urra,16.0,UCI-030,UCI,Alta Complejidad,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,61,60-74
